id,name,batch,gotJob,salary,email,state,dob,gender
25,Sharmin,B-17,true,120000,sharmin@gmail.com,FL,29=02=1988,F
26,Shahid,B-17,true,115000,shahid@yahoo.com,NY,12=07=1983,M
27,Merina,B-17,Unknown,0,merina@yahoo.com,NJ,13=07=1980,F
28,Hussain,B-17,true,120000,hussain@gmail.com,TX,09=07=1987,M
29,Shihab,B-18,true,145000,shihab@yahoo.com,NY,14=07=1985,M
30,Arafin,B-18,true,120000,arafin@gmail.com,NJ,15=07=1988,M
31,Faruk,B-18,true,110000,faruk@gmail.com,NY,16=07=1981,M
32,Mahbub,B-18,Unknown,0,mahbub@yandex.com,FL,17=11=1982,M
33,Mahfuzur,B-18,Unknown,0,mahfuz@gmail.com,TX,18=07=1983,M
34,Jitu,B-18,Unknown,0,jitu@apache.com,NY,19=07=1989,M
35,Hossen,B-18,Unknown,0,hossen@yahoo.com,NY,20=07=1988,M
36,Rajib,B-18,Unknown,0,rajib@gmail.com,TX,21=07=1986,M
37,Rahman,B-18,Unknown,0,rahman@gmail.com,FL,22=07=1985,M
38,Forhad,B-18,Unknown,0,forhad@gmail.com,NY,23=07=1990,M
39,Arif,B-18,true,120000,arif@gmail.com,CL,24=07=1993,M
40,Shazada,B-18,Unknown,0,shazada@gmail.com,NY,25=07=1997,M
41,Hasan,B-20,true,125000,hasan@aol.com,TX,26=07=1994,M
42,Mamun,B-20,true,120000,mamun@gmail.com,NY,27=07=1992,M
43,Rasel,B-20,true,110000,rasel@yahoo.com,CL,28=07=1995,M
44,Ahad,B-20,Unknown,0,ahad@rediff.com,NY,29=07=1990,M
45,Muneeza,B-20,true,120000,muneza@gmail.com,NJ,30=07=1987,F
46,Ali,B-20,true,0,ali@gmail.com,NY,31=07=1983,M
47,Nurul,B-20,true,130000,nurul@yahoo.com,CL,01=08=1989,M
48,Abdullah,B-20,true,122000,abdullah@aol.com,NY,02=08=1987,M
49,Yusuf,B-20,Unknown,0,yusuf@gmail.com,CL,03=08=1989,M
50,Arnov,B-20,Unknown,0,arnov@yahoo.com,NY,04=08=1991,M
51,Foysol,B-20,true,120000,foysol@gmail.com,NJ,05=08=1988,M
52,Hareth,B-20,true,110000,hareth@gmail.com,NY,06=08=1998,M
53,Hasan,B-22,On Market,0,hasan@yahoo.com,FL,07=11=1999,M
54,Pablu,B-22,On Market,0,pablu@gmail.com,NY,08=08=1982,M
55,Kamal,B-22,true,0,kamal@aol.com,CT,09=08=1992,M
56,Lipu,B-22,On Market,0,lipu@gmail.com,NY,10=08=1983,M
57,Mumin,B-22,On Market,0,mumin@yahoo.com,TX,11=08=2001,M
58,Palash,B-22,On Market,0,palash@gmail.com,NY,12=08=1941,M
59,Shourav,B-22,true,105000,shourov@yahoo.com,FL,13=08=1999,M
60,Samiha,B-22,true,112000,samiha@gmail.com,NY,14=08=1967,F
61,Faruk,B-23,On Market,0,faruk@yahoo.com,NJ,15=11=1971,M
62,Rafi,B-23,On Market,0,rafi@gmail.com,NY,26=06=1987,M
63,Mehrab,B-23,On Market,0,mehrab@aol.com,NJ,01=09=1985,M
64,Nusrat,B-23,On Market,0,nusrat@yahoo.com,CL,02=09=1998,F
65,Fabliha,B-23,On Market,0,fabliha@gmail.com,FL,03=09=1983,F
66,Rashed,B-23,On Market,0,rashed@yahoo.com,CT,04=09=1997,M
67,Shehela,B-23,On Market,0,shehela@rediff.com,NJ,05=09=1995,F
68,Israt,B-23,true,114000,israt@gmail.com,NY,06=09=1981,F
69,Farhan,B-23,On Market,0,farhan@yahoo.com,CT,07=09=1980,M
70,Halima,B-25,On Market,0,halima@aol.com,CL,09=11=1982,F
71,Milon,B-25,On Market,0,milon@yahoo.com,CT,10=09=1987,M
72,Hasan,B-25,true,118000,hasan@gmail.com,NY,13=09=1983,M
73,Sundus,B-25,On Market,0,sundus@gmail.com,NY,12=09=1986,F
74,Rupak,B-25,true,125000,rupak@aol.com,NY,15=09=1998,M
75,Moe,B-25,On Market,0,moe@rediff.com,NJ,18=09=1982,M
76,Yazan,B-25,true,122000,yazan@aol.com,VI,16=09=1998,M
77,Kiron,B-25,true,0,kiron@gmail.com,CT,17=09=1981,M
78,Mohammad,B-25,true,180000,mohammad@hmail.com,NY,18=05=1982,M
79,Islam,B-25,On Market,0,islam@gmail.com,FL,08=09=1982,M
80,Afrin,B-29,true,120000,afrin@gmail.com,NY,23=06=1996,F
81,Rabiul,B-29,Learning,0,rabiul@yahoo.com,NY,09=10=1982,M
82,Emon,B-29,Learning,0,emon@aol.com,FL,11=08=1975,M
83,Parvez,B-29,Learning,0,parvez@gmail.com,NY,12=11=1990,M
84,Mahmudur,B-29,Learning,0,mk@yahoo.com,TX,09=10=1985,M
85,Sadia,B-29,Learning,0,sadia@msn.com,CT,10=12=1990,F
86,Urbi,B-29,Learning,0,urbi@gmail.com,NY,23=12=1980,M
87,Mahim,B-29,Learning,0,mahim@aol.com,VI,28=11=1990,M
88,Udoy,B-29,Learning,0,udoy@msn.com,NJ,11=09=1980,M
89,Ehsan,B-29,Learning,0,ehsan@gmail.com,NY,05=09=1980,M
90,Adnan,B-17,true,115000,adnan@gmail.com,NY,30=06=1982,M
91,Robin,B-30,Learning,0,robin@gmail.com,FL,04=10=1982,M
92,Rintu,B-30,Learning,0,rintu@yahoo.com,NY,30=10=1972,M
93,Redhoy,B-30,Learning,0,redhoy@msn.com,TX,20=10=1971,M
94,Ivy,B-30,Learning,0,ivy@aol.com,TX,06=11=1982,F
95,Shammy,B-30,Learning,0,shammy@gmail.com,FL,09=10=1982,F
96,Reshma,B-30,Learning,0,reshma@yahoo.com,CT,19=12=1978,F
97,Islam,B-30,Learning,0,islam@yahoo.com,VI,16=11=1980,M
98,Rahman,B-30,Learning,0,rahman@gmail.com,RI,18=09=1980,M
99,Navid,B-30,Learning,0,navid@gmail.com,RI,20=10=1978,M
100,Surpreet,B-30,Learning,0,surpreet@gmail.com,NJ,28=11=1982,F
